front,back,hint,publishedAt
"verschwimmen","blur","Die Farben auf der Leinwand beginnen zu verschwimmen.","2025-05-23T06:19:26.878Z"
"benomen","nominate","","2025-05-23T05:49:08.826Z"
"ehrlich","honest","","2021-01-18T07:58:59.357Z"
"Schauer","shiver","Nach dem langen Spaziergang kam ein plötzlicher Schauer.","2021-01-27T13:49:52.755Z"
"zielgerichtet","targeted/purposeful","Die Schüler arbeiten zielgerichtet an ihren Projekten.","2021-02-27T13:55:52.292Z"
"im Stillen","in silence","Er hat im Stillen für seine Prüfung gelernt.","2021-04-29T08:01:34.580Z"
"eher","rather","Ich esse eher Obst als Süßigkeiten.","2021-06-22T06:44:28.182Z"
"unglücklich","unhappy","Die unglückliche Nachricht hat alle traurig gemacht.","2021-02-01T22:02:13.660Z"
"schlafen, schlief, geschlafen","to sleep","","2022-03-13T11:00:44.639Z"
"spätestens jetzt","now at the latest","Spätestens jetzt sollten wir mit der Planung beginnen.","2025-05-23T13:51:15.615Z"
"ungewöhnlich","unusual","Das Wetter ist heute wirklich ungewöhnlich für diese Jahreszeit.","2021-01-27T13:51:48.487Z"
"Belegt","Occupied","Der Tisch im Restaurant ist bereits belegt.","2021-02-07T14:06:12.703Z"
"Verhaltensmuster","Behavioural patterns","Die Psychologin analysierte die Verhaltensmuster ihrer Klienten.","2025-05-26T09:45:12.802Z"
"Taubheitsgefühl, Gefühllosigkeit","Numbness","Das Taubheitsgefühl in meinen Fingern macht mir Sorgen.","2025-05-26T09:29:03.547Z"
"umsetzen","implement","Wir müssen den Plan schnell umsetzen.","2025-05-23T06:14:12.265Z"
"Kribbeln","Tingling","Als ich ihn sah, verspürte ich ein Kribbeln im Bauch.","2025-05-26T09:28:35.451Z"
"Übungssache","A matter of practice","","2025-05-26T09:43:07.554Z"
"Spannung","Tension","Die elektrische Spannung in der Steckdose beträgt 230 Volt.","2022-03-03T14:26:16.865Z"
"vollständig","complete","Die Aufgabe muss vollständig ausgefüllt werden.","2021-02-08T17:01:16.095Z"
"die Knoblauchzehe","the clove of garlic","Ich schneide eine Knoblauchzehe für die Soße.","2021-06-12T22:22:17.540Z"
"der Kohlenstoff","the carbon","Der Kohlenstoff ist ein wichtiger Bestandteil von organischen Molekülen.","2021-03-01T07:57:57.401Z"
"Sensibilisierungskampagnen / Aufklärungskampagnen","Awareness campaigns / educational campaigns","Die Aufklärungskampagnen zur Impfungen haben viele Menschen erreicht.","2022-03-03T14:18:29.552Z"
"eingängig","catchy","Der Text ist sehr eingängig und bleibt im Gedächtnis.","2025-05-23T06:16:45.217Z"
"auswendig","by heart","Ich habe das Gedicht auswendig gelernt.","2025-05-23T06:11:38.362Z"
"worauf","on what","Worauf wartest du?","2021-06-28T06:06:45.042Z"
"ernsthaft","seriously","Ich meine das ernsthaft, du solltest darüber nachdenken.","2021-02-25T14:38:56.792Z"
"der Kiesel","the pebble / small stone","Die Kinder sammeln Kiesel am Ufer des Flusses.","2021-02-22T14:23:58.324Z"
"sammeln / akkumulieren","collect / accumulate","Ich sammle Briefmarken aus verschiedenen Ländern.","2021-03-11T09:56:17.556Z"
"Einflüsse, Einwirkungen, beeinflusse","Influences","Die Einflüsse der sozialen Medien auf die Jugend sind ein aktuelles Thema.","2025-05-26T09:36:13.370Z"
"Niesen","Sneeze","Wenn ich eine Allergie habe, niese ich oft.","2021-02-28T17:45:35.168Z"
"Verlangen, Begehren","Desire, craving","Ich habe ein starkes Verlangen nach Schokolade.","2025-05-26T09:38:11.188Z"
"erzähl","tell","Erzähl uns eine Geschichte, bitte!","2025-05-23T06:07:50.420Z"
"die Schuld","the blame","Ich fühle die Schuld für meinen Fehler.","2021-02-10T10:53:35.840Z"
"Einschreiben","Registered mail","Ich muss das Einschreiben zur Post bringen.","2025-05-22T14:48:44.737Z"
"behutsam, sanft, vorsichtig","gently","Er nahm das Baby behutsam in die Arme.","2025-05-26T09:41:05.962Z"
"Selbstreflexion","Self-reflection","Nach dem Unterricht nehme ich mir Zeit für Selbstreflexion, um über das Gelernte nachzudenken.","2025-05-26T09:42:42.859Z"
"Explosion","explosion","Nach der Explosion war die Stadt in Trümmern.","2025-05-23T13:46:26.277Z"
"keuschheit","chastity","Die Keuschheit ist in vielen Kulturen ein wichtiges Thema.","2021-02-04T21:10:20.088Z"
"springen, sprang, gesprungen","to jump","","2022-03-13T11:02:31.463Z"
"wohlfülle","abundance","Ein gutes Essen trägt zur Wohlfülle bei.","2025-05-23T06:13:25.149Z"
"schmerzhaft, schmerzlich","painful, painful","Der Arzt sagte, dass die Behandlung schmerzhaft sein könnte.","2025-05-28T06:30:26.402Z"
"explizit","explicit","Die Regeln sind explizit im Handbuch beschrieben.","2025-05-26T09:39:50.959Z"
"vernünftig, sinnvoll, klug","reasonable","Es ist vernünftig, bei schlechtem Wetter einen Regenschirm mitzunehmen.","2025-05-26T09:40:32.949Z"
"Jungfräulichkeit","Virginity","Die Jungfräulichkeit wird in vielen Kulturen hoch geschätzt.","2025-05-28T06:27:17.798Z"
"abergläubisch","superstitious","Sie trägt immer einen Glücksbringer, weil sie abergläubisch ist.","2025-05-20T09:31:10.789Z"
"Einzig","Only","Sie ist die einzig wahre Freundin, die ich habe.","2021-04-15T06:25:28.828Z"
"Zudem, darüber hinaus","Furthermore, in addition","Das Wetter ist schön. Zudem planen wir ein Picknick im Park.","2025-05-22T08:08:50.061Z"
"entsprechend","corresponding","Die Preise sind entsprechend der Qualität.","2025-05-26T09:35:55.058Z"
"wandern / Wanderung","hike / Hike","Am Wochenende gehen wir in die Berge wandern.","2021-04-28T22:05:39.922Z"
"Außergewöhnlich","Extraordinary","Die Leistung des Schülers war außergewöhnlich.","2025-05-23T15:12:40.879Z"
"dann und wann","now and then","Ich gehe dann und wann ins Kino.","2025-05-26T09:49:30.975Z"
"Scheidepunkt","Crossroads","Die Entscheidung, das Land zu verlassen, war ein Scheidepunkt für die gesamte Familie.","2025-05-26T09:27:26.436Z"
"sarkastisch","sarcastic","„Natürlich, ich liebe es, im Stau zu stehen. Es ist mein Lieblingshobby!“","2025-05-20T09:29:20.082Z"
"kompliziert","complicated","Die Matheaufgabe ist sehr kompliziert.","2025-05-28T06:28:51.574Z"
"undankbar","ungrateful","Es ist wirklich undankbar, dass er sich nicht für die Hilfe bedankt hat.","2025-05-20T09:29:38.931Z"
"Verlaufsgespräch","Progress meeting","","2025-05-26T09:51:46.283Z"
"vergehen","pass away","Die Wolken vergehen am Himmel.","2025-05-26T09:26:41.040Z"
"anziehend, attraktiv, reizvoll","attracting","Das Kleid, das sie trägt, ist wirklich anziehend.","2025-05-20T09:29:50.581Z"
"Beziehung","relationship","Die Beziehung zwischen den beiden Freunden ist sehr stark.","2025-05-26T09:31:38.391Z"
"quasi, sozusagen","so to say","Das Wetter ist heute quasi perfekt für ein Picknick.","2025-05-26T09:34:15.884Z"
"wirkungvolstem","most effective","Die neue Kampagne hat die wirkungvolstem Ergebnisse erzielt.","2025-05-23T06:10:51.895Z"
"Anziehungskraft","Attractiveness","Eine Verführerin kann als jemand beschrieben werden, der mit Charme und Anziehungskraft spielt, um das Interesse oder die Zuneigung einer anderen Person zu gewinnen.","2025-05-26T09:30:34.765Z"
"der Kindesmissbrauch","the child abuse","Die Gesellschaft muss sich stärker gegen den Kindesmissbrauch einsetzen.","2021-06-06T19:49:21.030Z"
"ruhig","calm","Es ist hier sehr ruhig, perfekt zum Lesen.","2025-05-20T09:27:53.336Z"
"ungerecht","unjust","Die Entscheidung des Richters war ungerecht und hat viele Menschen verletzt.","2025-05-20T09:27:44.345Z"
"verrückt","crazy","Er hat eine verrückte Idee für das Projekt.","2025-05-20T09:27:34.435Z"
"dumm","stupid","Er hat eine dumme Frage gestellt.","2025-05-20T09:27:22.924Z"
"überheblich","arrogant","Sein überhebliches Verhalten hat viele Freunde vergrault.","2025-05-20T09:26:38.351Z"
"fair","fair","Es ist wichtig, dass wir in der Diskussion fair miteinander umgehen.","2025-05-20T09:26:06.326Z"
"moralisch","moral","Es ist moralisch falsch, zu lügen.","2025-05-20T09:25:10.202Z"
"ehrgeizig","ambitious","Er ist sehr ehrgeizig und möchte Arzt werden.","2025-05-20T09:24:53.563Z"
"gebildet","educated","Er ist ein sehr gebildeter Mensch, der viel über Geschichte weiß.","2025-05-20T09:24:27.555Z"
"misstrauisch","suspicious","Er war misstrauisch gegenüber den neuen Nachbarn.","2025-05-20T09:24:04.126Z"
"hartnäckig","persistent","Er ist hartnäckig und gibt nie auf, seine Träume zu verwirklichen.","2025-05-20T09:23:42.759Z"
"arrogant","arrogant","Sein arrogantes Verhalten hat viele Freunde vergrault.","2025-05-20T09:23:25.790Z"
"kompetent","competent","Wir brauchen einen kompetenten Berater für unser Projekt.","2025-05-20T09:22:49.733Z"
"sympathisch","sympathetic","Ich finde ihn sehr sympathisch.","2025-05-20T09:22:39.695Z"
"die Festnahme","the arrest","Die Festnahme erfolgte aufgrund eines Haftbefehls.","2025-05-20T09:21:49.074Z"
"das Gesetz","the law","Das Gesetz schützt die Rechte der Bürger.","2025-05-20T09:21:31.069Z"
"ermittelt","determined","Die Polizei hat den Täter schnell ermittelt.","2025-05-20T09:21:16.936Z"
"der Mord","the murder","Die Polizei ermittelt im Fall eines mysteriösen Mordes.","2025-05-20T09:21:07.006Z"
"der Raub","the robbery","Der Raub in der Bank sorgte für große Aufregung in der Stadt.","2025-05-20T09:20:48.174Z"
"aufgedeckt","revealed","Die Journalisten haben den Skandal aufgedeckt.","2025-05-20T09:20:35.130Z"
"der Betrug","the fraud","Der Betrug wurde von der Polizei aufgedeckt.","2025-05-20T09:20:13.289Z"
"der Beweis","the proof","Ich brauche einen Beweis für meine Theorie.","2025-05-20T09:19:56.642Z"
"der Richter","the judge","Der Richter hat das Urteil verkündet.","2025-05-20T09:19:24.032Z"
"schuldig","guilty","Er ist schuldig, weil er das Geld nicht zurückgezahlt hat.","2025-05-20T09:19:10.530Z"
"das Gericht","the court","Das Gericht hat entschieden, dass der Angeklagte unschuldig ist.","2025-05-20T09:18:16.802Z"
"heben, hob, gehoben","to lift","Ich hebe die Hand, um zu sprechen.","2022-03-13T10:57:47.375Z"
"hängen, hing, gehangen","to hang","Ich hänge das Bild an die Wand.","2022-03-13T10:57:35.139Z"
"leihen, lieh, geliehen","to lend; to borrow","Er lieh mir sein Fahrrad für das Wochenende.","2022-03-13T10:58:35.324Z"
"Gewächshaus / Treibhause","greenhouse","Wir haben ein neues Treibhaus im Garten gebaut.","2022-03-07T11:41:29.974Z"
"realisieren","realize","Es ist wichtig, die Ideen im Team zu realisieren.","2021-04-30T06:07:06.314Z"
"verlassen","leave","Ich verlasse das Haus jeden Morgen um acht Uhr.","2021-02-01T14:19:19.193Z"
"der Postsack","the mailbag","Der Postbote trägt den Postsack auf seinem Rücken.","2021-06-24T07:15:05.210Z"
"Verfahren / Prozedur","Procedure / procedure","Das Verfahren zur Beantragung eines Reisepasses ist sehr einfach.","2021-04-30T05:44:24.796Z"
"der Anspruch","the claim","Die Firma hat hohe Ansprüche an die Qualität ihrer Produkte.","2021-06-05T08:07:39.207Z"
"anderswo","elsewhere","Die Kinder spielen anderswo im Park.","2022-03-04T14:57:06.220Z"
"Kurznachrichtendienst","Short message service","","2021-06-21T21:10:10.785Z"
"schwimmend","floating","Das schwimmende Boot hat den Sturm gut überstanden.","2021-02-09T09:09:00.686Z"
"Segeln","sailing","Er hat das Segeln im Urlaub gelernt.","2022-03-02T11:17:51.780Z"
"passende","suitable / matching","Ich habe ein passendes Kleid für die Feier gefunden.","2022-03-02T09:33:38.608Z"
"der Wäschekorb","the laundry basket","Ich habe den Wäschekorb im Schlafzimmer stehen.","2021-01-26T10:49:29.126Z"
"die Schuldverschreibung","the bond","Die Bank hat mir eine Schuldverschreibung angeboten, um mein Geld anzulegen.","2021-06-06T19:49:00.049Z"
"Langstreckenflug","Long haul flight","","2021-05-03T08:46:46.869Z"
"erleben/erfahrung","experience/experience","Ich möchte die Kultur in diesem Land erleben.","2021-01-28T05:26:14.484Z"
"niedrigste","lowest","Die niedrigste Temperatur in dieser Woche war minus fünf Grad.","2021-01-26T11:42:44.902Z"
"genesen, genas, genossen","to recover","Nach der Krankheit hat sie endlich genesen.","2022-03-13T10:56:50.812Z"
"der Dieb(in), die Diebe","the thief","Die Polizei fasste den Dieb.","2022-04-20T10:06:30.007Z"
"steigen, stieg, gestiegen","to climb, mount","Die Temperatur steigt im Sommer oft über 30 Grad.","2022-03-13T11:02:50.393Z"
"wetten","bet","Ich wette, dass unsere Mannschaft das Spiel gewinnt.","2021-02-18T07:48:39.027Z"
"streiten, stritt, gestritten","to quarrel","","2022-03-13T11:03:03.012Z"
"einmalig","unique","einmalig","2025-05-20T07:46:01.530Z"
"einzigartig","unique","einzigartig","2025-05-20T07:45:55.327Z"
"absolut","absolutely","Was Sie da sagen, ist absolut falsch.\nIch habe absolutes Vertrauen zu dir.","2022-03-20T14:35:57.121Z"
"rufen, rief, gerufen","to call","Ich rufe dich morgen an.","2022-03-13T10:59:58.333Z"
"nehmen, nahm, genommen","to take","Ich nehme einen Apfel aus dem Korb.","2022-03-13T10:59:11.256Z"
"kommen, kam, gekommen","to come","Ich komme morgen zu dir.","2022-03-13T10:58:07.533Z"
"fliegen, flog, geflogen","to fly","Wir fliegen nächste Woche nach Spanien.","2022-03-13T10:55:43.503Z"
"beißen, beißt, biss, gebissen","to bite","","2022-03-13T10:54:12.004Z"
"die Intensivstation","the intensive care unit","Die Ärzte auf der Intensivstation arbeiten rund um die Uhr.","2021-07-01T22:34:37.923Z"
"entlassen","dismiss","Der Chef hat ihn entlassen.","2025-05-19T19:27:32.225Z"
"der Sieg","the victory","Der Sieg bei der Wahl war für die Partei sehr wichtig.","2021-06-14T20:40:25.270Z"
"Wirtschaft","economy","Die wirtschaftliche Lage des Landes hat sich verbessert.","2021-02-07T13:56:18.166Z"
"rumgespielt / rumspielen","playing around / fooling around","","2022-03-18T15:30:47.245Z"
"nutzlos","useless","","2022-03-20T10:27:10.712Z"
"gewinnen, gewann, gewonnen","to win","","2022-03-13T10:57:02.461Z"
"laufen, lief, gelaufen","to run, walk","","2022-03-13T10:58:28.262Z"
"Absturz","crash","","2022-03-20T13:13:54.851Z"
"sitzen, saß, gesessen","to sit","","2022-03-13T11:02:09.698Z"
"Der Sklave","The slave","","2022-04-20T10:02:51.624Z"
"schreien, schrie, geschrien","to scream, cry","","2022-03-13T11:01:20.102Z"
"sprießen, spross, gesprossen","to sprout","","2022-03-13T11:02:28.138Z"
"Ausgaben / Aufwendung","Expenditures / Expenses","","2021-05-02T07:52:31.386Z"
"der Anwalt, die Anwältin","the lawyer","¨-e, -nen\n\nIch werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.","2022-03-20T14:41:03.197Z"
"angenehm","enjoyable","Wir wünschen Ihnen eine angenehme Reise.","2022-03-20T14:38:57.442Z"
"die Castingshow","the talent show","-s","2022-03-20T14:29:52.227Z"
"abonnieren","to subscribe","Diese Zeitschrift würde ich gerne abonnieren","2022-03-20T14:35:31.108Z"
"Bankangestellte","Bank employee","Einer der Bankangestellten musste mir helfen.","2022-03-02T10:08:38.079Z"
"der abgabestelle","the delivery point","","2021-06-17T12:11:02.442Z"
"empfehlen, empfahl, empfohlen","to recommend","","2022-03-13T10:55:05.888Z"
"zusammenzufassen","summarize","Umso schwieriger ist es,\ndiese zusammenzufassen","2022-03-04T06:21:50.980Z"
"Gerechtigkeit","justice","Ich wollte protestieren für Gerechtigkeit","2021-06-16T17:29:57.317Z"
"erniedringen/demütigen","humiliate","","2021-01-31T21:08:25.825Z"
"der verband","the association","","2021-06-24T07:14:26.260Z"
"anscheinend / offenbar","apparently / apparently","","2021-03-02T10:08:34.802Z"
"Die Trauung / Hochzeit","The marriage ceremony / wedding","","2021-05-27T08:08:30.278Z"
"meiden, mied, gemieden","to avoid","","2022-03-13T10:58:51.048Z"
"festes","solid","Die Bank findet es natürlich besser,\nwenn du ein festes Einkommen hast.","2022-03-02T10:04:22.865Z"
"Schlagzeilen / Überschrift","Headlines / Headline","bestimmt momentan die Schlagzeilen.","2022-03-04T06:20:50.103Z"
"hinterher","afterwards","","2021-02-14T15:10:33.200Z"
"Betrug","Scam","","2021-06-10T23:15:34.499Z"
"der Verbraucher","the consumer","","2021-06-04T16:53:13.801Z"
"ausschließlich","exclusively","","2021-06-17T13:13:19.278Z"
"der Überfall","the raid","","2021-06-05T08:09:05.989Z"
"eingeben","enter","","2021-06-09T05:27:50.889Z"
"das Drehbuch","the script","– Ich glaube sogar, das Drehbuch\nbasiert auf einem Roman.","2022-03-02T21:42:49.777Z"
"verknallt","Crush","– Ich glaube, der Reporter hat sich\nin mich verknallt.","2022-03-03T07:10:02.323Z"
"dauernd / ständig","constantly / continuously","","2021-02-27T09:57:10.718Z"
"reicht nicht","not enough","– Das reicht nicht.","2022-03-02T09:58:29.483Z"
"Angesicht zu Angesicht","Face to face","Also, ich konnte das\nvon Angesicht zu Angesicht nicht.","2022-03-10T11:27:26.984Z"
"Leihmutterschaft","Surrogacy","aber es gibt keine Leihmutterschaft\nin Deutschland.","2022-03-10T11:46:09.245Z"
"überzeugt","convinced","Ich bin nicht überzeugt!","2022-03-02T21:35:07.559Z"
"unabhängig","independent","","2021-07-08T13:50:31.235Z"
"die Spesen","the expenses / Allowence","","2021-06-21T05:40:37.148Z"
"Herzstillstand","Cardiac arrest","Und hat dann während der Session\neinen Herzstillstand bekommen.","2022-03-04T15:02:03.194Z"
"die Neuvermählten / Brautpaar","the newlyweds / newlyweds","","2021-06-10T06:04:59.781Z"
"gehorchen / befolgen / Folge leisten","obey","","2021-01-16T15:44:30.820Z"
"Verwendungszweck","Usage","– Empfänger, IBAN,\nVerwendungszweck war …","2022-03-02T10:05:15.981Z"
"unübersichtlich / verwirrend","confusing","Die Website ist viel\nzu unübersichtlich.","2022-03-02T11:44:51.055Z"
"Aufzeichnung","recording / record","","2021-06-06T19:54:24.052Z"
"feststellen","determine","","2021-04-29T07:55:57.064Z"
"beschreiben","describe","Selma, bitte beschreibe\neines von Sebastians Porträts.","2022-03-02T10:12:21.896Z"
"darstellen","represent","Ich möchte gerne deutsche\nRedewendungen mit Fotos darstellen.","2022-03-02T11:16:02.850Z"
"Kreislaufzusammenbruch","Circulatory collapse","– Einen Kreislaufzusammenbruch?","2022-03-02T10:18:15.247Z"
"der Strömung","the current","Und dann treib ich in der Strömung","2022-03-02T09:49:48.352Z"
"umgehend / sofort","immediately / immediately","","2021-04-30T09:19:08.790Z"
"umgesetzt","implemented","","2021-03-01T08:57:20.710Z"
"vorschlagen","propose","","2021-04-29T14:04:42.585Z"
"verletzend","hurtful","","2021-01-26T19:04:48.653Z"
"unangenehmen / unbequem","uncomfortable / uncomfortable","","2021-02-01T10:46:19.626Z"
"Zeichektrickfilme","Cartoons","","2021-02-07T13:49:39.797Z"
"geschlechtsteile / weichteile / schamteile","genitals / soft parts / private parts","","2021-06-28T05:59:47.635Z"
"zusammenkünfte","meetings/get together","","2021-01-26T14:11:47.644Z"
"falsch / geirrt","wrong / wrong","","2021-04-29T12:05:32.220Z"
"schnäppen","sniff","","2021-02-18T06:23:51.808Z"
"abgehauen","escape/runaway","– Ich bin abgehauen.","2022-03-02T10:10:21.084Z"
"der Abwart, die Abwartin","the caretaker","-e, -nen\nDer Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.","2022-03-20T14:36:08.160Z"
"wiederum","in turn","","2022-04-13T12:53:42.558Z"
"aufheben","to pick up, to keep","hebt auf, hob auf, aufgehoben\n\n1. Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.\n2. Die Quittung müssen Sie gut aufheben.","2022-03-20T14:43:17.363Z"
"vortäuschen","pretend","","2021-02-11T15:22:48.313Z"
"mitbekommen/ beachten/ merken/ beobachten","notice","","2021-01-29T08:15:23.971Z"
"Schwelle","threshold","","2021-05-03T06:24:30.896Z"
"Überlastung","overload","","2022-04-22T09:46:09.042Z"
"Daraufhin","Thereupon","","2022-03-18T17:19:30.359Z"
"die Aushilfe","the temporary worker","-n\n\nWir suchen eine freundliche Aushilfe für unser Geschäft.","2022-03-20T14:45:06.026Z"
"Vertreiben","Expell / to evict","","2021-05-27T08:06:49.812Z"
"Benachrichtigung / Bescheid","Notification / notice","","2022-04-13T12:54:23.944Z"
"klauen, stehlen","steal, stealing","Der Dieb hat nur meine Schuhe gestohlen.","2022-04-20T10:05:56.520Z"
"ertönen / Geräusch / Lärm / Krach","sound","","2022-04-20T10:04:46.245Z"
"Entschließen, Entschiden","Decide","","2022-04-20T09:59:51.426Z"
"passieren","to happen","Sie drückte auf den Knopf, aber nichts passierte.","2022-04-20T10:06:06.802Z"
"aufgeben","to give up","gibt auf, gab auf, hat aufgegeben.\n\n1. Ich have auf der Post ein Paket aufgegeben.\n2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.","2022-03-20T14:43:05.695Z"
"umsonst","for free","– Ich arbeite jedenfalls nicht umsonst.","2022-03-03T05:55:56.756Z"
"umgekehrt","vice versa","Und umgekehrt bei deiner Freundin .","2022-03-10T11:02:52.604Z"
"Regierungspräsidium","Regional Council","","2022-04-22T09:46:50.696Z"
"ungünstigsten / ungunstig","least favourable / unfavourable","","2022-04-22T09:47:43.970Z"
"helleren","brighter","","2021-04-30T12:44:16.680Z"
"die Brandung","the surf","Zusammen in die Brandung","2022-03-02T09:51:34.196Z"
"Anfrage / beantrage","request","","2021-04-29T09:13:06.049Z"
"damit umgehen / umzugehen","to deal with / handle","","2021-04-30T05:51:17.159Z"
"der Aktenschrank","the filing cabinet","","2021-07-08T13:47:30.495Z"
"der Briefträger/ Postbote","the postman / postman","","2021-06-24T07:15:00.933Z"
"vertriben / verteilen","distribute","","2021-01-27T12:41:40.187Z"
"die Flitterwochen","the honeymoon","","2021-06-10T06:03:06.362Z"
"das Ereignis","the event","Er hat das Ereignis organisiert.","2021-01-18T06:26:16.211Z"
"die Abbildung","the illustration","","2021-06-02T09:18:36.693Z"
"sich verloben","get engaged","","2021-06-10T06:03:16.662Z"
"der Blutdruck","the blood pressure","Der Arzt muss meinen Blutdruck messen.","2021-06-10T23:20:10.543Z"
"offensichtlich","obvious","","2021-01-27T13:56:41.556Z"
"gezwungen / erzwungen","forced","wo sie denken, jede Frau\nwird gezwungen, hat 'nen Zuhälter.","2022-03-04T14:51:23.590Z"
"kotzen","puke","Dann gibt's Nachrichten, wo die\ndir so kotzende Emojis schicken.","2022-03-10T11:38:33.057Z"
"die künstliche Befruchtung","artificial insemination","Es gibt die künstliche Befruchtung,\ndass du einen Spender hast,","2022-03-10T11:41:24.265Z"
"umweltschädlich","Environmentally harmful","Das Zeug ist sowas von umweltschädlich.","2022-03-03T07:03:50.211Z"
"Pure Leidenschaft!","Pure passion!","","2022-03-02T11:38:32.638Z"
"klopfen","beat","","2021-06-12T22:19:14.475Z"
"unterbrechung / unterbrech","interruption / interrupt","dass ich den Unterricht\njedes Mal wieder unterbrechen muss?","2022-03-03T05:54:44.638Z"
"Gehaltsunterschiede","Salary differences","und Gehaltsunterschiede\nzwischen Männern und Frauen.","2022-03-03T06:21:08.288Z"
"der Gehilfe","the assistant","","2021-06-21T05:39:05.877Z"
"Freizeitangeboten","Leisure activities","Heute kriege ich fünf E-Mails mit\nFreizeitangeboten, Tickets, Werbung.","2022-03-02T11:17:33.348Z"
"unterschätzt","underestimate","Wenn du sagst, unterschätz das mal\nnicht, wie viele da vorbeikommen.","2022-03-04T14:58:02.013Z"
"Strapsen","Suspenders","Dessous, Strapsen mag ich gerne,\nHigh Heels natürlich.","2022-03-04T14:38:03.970Z"
"meiden / vermeiden","avoid","","2021-04-29T13:51:36.602Z"
"eigenständiges","standalone","Erstens: Sind die Ukrainer\nein eigenständiges Volk?","2022-03-04T06:27:03.109Z"
"verkleinern","reduce","Sie will sich\nihre Brüste verkleinern lassen.","2022-03-03T14:25:09.120Z"
"Berufsporträt","Professional portrait","Die Berufsporträts?","2022-03-03T06:54:48.316Z"
"erfüllt","Fulfills","Hier erfüllt sich meine Sehnsucht","2022-03-02T09:51:10.304Z"
"mit einschreiben","with registered","","2021-06-24T07:15:44.407Z"
"Buchverfilmung","Book adaptation","Die Serie ist also eine Buchverfilmung.","2022-03-02T21:43:01.617Z"
"Quatsch, Unsinn","nonsense","So ein Quatsch!","2022-03-02T10:19:37.152Z"
"gefangen/einklammte","trapped","","2021-01-27T15:14:43.795Z"
"die Besprechung","the meeting","Die Angestellten haben eine Besprechung im Sitzungssaal.","2021-06-21T05:54:02.252Z"
"Rechtschreibfehler","spelling mistake","– Also, der Lebenslauf ist bis auf ein paar\nkleine Rechtschreibfehler","2022-03-03T06:14:23.094Z"
"eigenschaft / eigenshaften","Property / Properties","","2022-03-08T09:45:39.073Z"
"wackle","wiggle","manchmal wackle ich so ein bisschen","2022-03-04T14:40:43.351Z"
"stören","to disturb","","2021-04-30T10:01:04.889Z"
"aufschrift / Inschrift","inscription","","2021-06-17T12:14:17.433Z"
"Versuchung, verlockung","Temptation","","2021-04-28T21:51:26.873Z"
"verschieben","move / push","– Können wir den Termin nicht verschieben?","2022-03-03T05:49:42.872Z"
"das Strafrecht","the criminal law","","2021-06-05T08:08:29.219Z"
"die Rache","the revenge","","2022-03-06T20:40:15.981Z"
"durchmachen","go through","","2021-02-24T13:08:56.641Z"
"Aufenthalt","stay","Ich wünsche Ihnen\neinen angenehmen Aufenthalt!","2022-03-02T10:56:13.591Z"
"beschuldigen","accuse","","2021-01-31T21:07:56.026Z"
"Studienfächer","Subjects of study","Es gibt so viele Studienfächer!","2022-03-03T05:47:28.986Z"
"gewiss / sicherlich /bestimmt","certainly","","2021-06-22T06:51:00.478Z"
"vielversprechend","very promising","","2021-07-08T13:51:29.372Z"
"die Flosse","the fin","","2021-06-15T20:25:20.176Z"
"Wirksamkeit","effectiveness","","2021-07-01T22:41:33.092Z"
"Gepflegt","groomed","","2021-05-20T06:52:55.709Z"
"die Gewerkschaft","the tradeunion","","2021-02-12T09:37:07.623Z"
"der erfindung","the invention","","2021-06-24T07:14:55.738Z"
"angezogen","dressed/attracted","","2021-01-27T06:40:58.529Z"
"kurzfristig","short term","– So kurzfristig finden wir keinen …","2022-03-02T12:57:49.896Z"
"zahlreich","numerous","","2021-07-08T13:52:02.525Z"
"die Ernennungsurkunde","Appointment letter","","2021-06-21T05:42:20.644Z"
"Besetzung","occupation","","2021-06-22T07:59:33.069Z"
"angegeben","specified","","2021-07-01T22:33:11.058Z"
"übertroffen / überschritten","exceeded","","2021-05-03T06:25:13.696Z"
"beatmet","ventilated","","2021-07-01T22:35:07.801Z"
"Entführen","Kidnap","","2021-05-27T08:07:30.434Z"
"fortbildung","training","","2021-02-18T08:22:41.918Z"
"erfassen","capture","","2021-06-14T22:34:21.949Z"
"der Pokal","the trophy","","2021-06-14T15:17:03.554Z"
"leuchtend","bright","Hier sind alle Dinge leuchtend","2022-03-02T09:50:00.011Z"
"Schichtdienst","shift work","Haben Sie Erfahrung im Schichtdienst?","2022-03-02T12:55:52.164Z"
"überführen","convict","","2021-06-04T16:57:36.930Z"
"Lautstärkeregler","Volume control","","2021-06-24T07:13:43.543Z"
"empfehlen","recommend","","2021-02-07T14:03:30.659Z"
"befestigt / anbei","attached / attached","","2021-04-15T07:14:19.007Z"
"Wende","turn","","2021-06-12T22:21:08.691Z"
"die Tagesordnung","the agenda","","2021-06-04T16:54:36.095Z"
"vernachlässigt / vernachlässigen","neglected / neglect","","2021-04-29T05:58:46.794Z"
"versehentlich","accidentally","Ich habe versehentlich das Glas zerbrochen.","2021-01-18T06:23:53.719Z"
"stürzen","fall","","2021-06-24T07:13:50.486Z"
